price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,area_original
13300000,7420.0,4,2.0,3,yes,no,no,no,yes,2,yes,furnished,7420.0
12250000,8960.0,4,4.0,4,yes,no,no,no,yes,3,no,furnished,8960.0
12250000,9960.0,3,2.0,2,yes,no,yes,no,no,2,yes,semi-furnished,9960.0
12215000,4540.0,4,2.0,2,yes,no,yes,no,yes,3,yes,furnished,4540.0
11410000,4540.0,4,1.0,2,yes,yes,yes,no,yes,2,no,furnished,4540.0
10850000,7500.0,3,3.0,1,yes,no,yes,no,yes,2,yes,semi-furnished,7500.0
10150000,8580.0,4,3.0,4,yes,no,no,no,yes,2,yes,semi-furnished,8580.0
10150000,11657.567999999963,5,3.0,2,yes,no,no,no,no,0,no,unfurnished,11657.567999999963
9870000,8100.0,4,1.0,2,yes,yes,yes,no,yes,2,yes,furnished,8100.0
9800000,5750.0,3,2.0,4,yes,yes,no,no,yes,1,yes,unfurnished,5750.0
9800000,4540.0,3,1.0,2,yes,no,yes,no,yes,2,yes,furnished,4540.0
9681000,6000.0,4,3.0,2,yes,yes,yes,yes,no,2,no,semi-furnished,6000.0
9310000,6550.0,4,2.0,2,yes,no,no,no,yes,1,yes,semi-furnished,6550.0
9240000,3500.0,3,2.0,2,yes,no,no,yes,no,2,no,furnished,3500.0
9240000,7800.0,3,2.0,2,yes,no,no,no,no,0,yes,semi-furnished,7800.0
9100000,6000.0,4,1.0,2,yes,no,yes,no,no,2,no,semi-furnished,6000.0
9100000,6600.0,4,2.0,2,yes,yes,yes,no,yes,1,yes,unfurnished,6600.0
8960000,8500.0,3,2.0,4,yes,no,no,no,yes,2,no,furnished,8500.0
8890000,4600.0,3,1.0,2,yes,yes,no,no,yes,2,no,furnished,4600.0
8855000,6420.0,3,2.0,2,yes,no,no,no,yes,1,yes,semi-furnished,6420.0
8750000,4320.0,3,1.0,2,yes,no,yes,yes,no,2,no,semi-furnished,4320.0
8680000,7155.0,3,2.0,1,yes,yes,yes,no,yes,2,no,unfurnished,7155.0
8645000,8050.0,3,1.0,1,yes,yes,yes,no,yes,1,no,furnished,8050.0
8645000,4560.0,3,2.0,2,yes,yes,yes,no,yes,1,no,furnished,4560.0
8575000,8800.0,3,2.0,2,yes,no,no,no,yes,2,no,furnished,8800.0
8540000,6540.0,4,2.0,2,yes,yes,yes,no,yes,2,yes,furnished,6540.0
8463000,6000.0,3,2.0,4,yes,yes,yes,no,yes,0,yes,semi-furnished,6000.0
8400000,8875.0,3,1.0,1,yes,no,no,no,no,1,no,semi-furnished,8875.0
8400000,7950.0,5,2.0,2,yes,no,yes,yes,no,2,no,unfurnished,7950.0
8400000,5500.0,4,2.0,2,yes,no,yes,no,yes,1,yes,semi-furnished,5500.0
8400000,7475.0,3,2.0,4,yes,no,no,no,yes,2,no,unfurnished,7475.0
8400000,7000.0,3,1.0,4,yes,no,no,no,yes,2,no,semi-furnished,7000.0
8295000,4880.0,4,2.0,2,yes,no,no,no,yes,1,yes,furnished,4880.0
8190000,5960.0,3,3.0,2,yes,yes,yes,no,no,1,no,unfurnished,5960.0
